weight_precision,delay_precision,weight_bits,delay_bits,accuracy,memory_bits,memory_ratio_vs_fp32
fp32,fp32,32.0,32.0,0.9933,7680.0,1.0
fp32,4-bit,32.0,4.0,0.9967,4320.0,0.5625
fp32,3-bit,32.0,3.0,0.9933,4200.0,0.5469
fp32,2-bit,32.0,2.0,0.955,4080.0,0.5312
8-bit,fp32,8.0,32.0,0.9933,4800.0,0.625
8-bit,4-bit,8.0,4.0,0.9967,1440.0,0.1875
8-bit,3-bit,8.0,3.0,0.9933,1320.0,0.1719
8-bit,2-bit,8.0,2.0,0.955,1200.0,0.1562
4-bit,fp32,4.0,32.0,0.9933,4320.0,0.5625
4-bit,4-bit,4.0,4.0,0.9967,960.0,0.125
4-bit,3-bit,4.0,3.0,0.9933,840.0,0.1094
4-bit,2-bit,4.0,2.0,0.9517,720.0,0.0938
2-bit,fp32,2.0,32.0,0.995,4080.0,0.5312
2-bit,4-bit,2.0,4.0,0.9933,720.0,0.0938
2-bit,3-bit,2.0,3.0,0.9883,600.0,0.0781
2-bit,2-bit,2.0,2.0,0.95,480.0,0.0625
ternary,fp32,1.585,32.0,0.99,4030.2,0.5248
ternary,4-bit,1.585,4.0,0.99,670.2,0.0873
ternary,3-bit,1.585,3.0,0.9933,550.2,0.0716
ternary,2-bit,1.585,2.0,0.9433,430.2,0.056
